"id","選手","名前(フリガナ)","ロングリスト","所属部門","team_id","team","pos1","pos2","pos3","投","打","身長","体重","年齢","生年月日","編成","選手登録状態","出場枠","対象年度","指名チーム","ドラフト巡","出身チーム","入団年度","本年度登録","通算登録","通算登録(日)","最新通算登録","最新通算登録(日)","FA日数","FA日数(日)","最新FA日数","最新FA日数(日)","国内FA権","残日数（国内）","最新残日数（国内）","海外FA権","残日数（海外）","最新残日数（海外）","評S","現在評価","現在評価最高","将来評価","将来評価最高","2015年予想","2016年予想","2017年予想","2018年予想","フル数","所属リーグ","短縮名","英語表示名","正式名称","real_name","real_name_furigana","real_name_in_english","担当スカウト1","担当スカウト2","担当スカウト3","国籍","現所属チーム","前所属チーム","２つ前所属チーム","F-ID","BR-ID","ホームタウン","NPB選手ID","プロ志望届","2015年予想最高","2016年予想最高","2017年予想最高","2018年予想最高","MLBcom選手ID","2019年予想","2020年予想","2021年予想","2022年予想","2023年予想","2024年予想","2025年予想","2026年予想","2027年予想","2028年予想","2019年予想最高","2020年予想最高","2021年予想最高","2022年予想最高","2023年予想最高","2024年予想最高","2025年予想最高","2026年予想最高","2027年予想最高","2028年予想最高","育成⇒支配下契約日","支配下⇒育成契約日","翌三末時点年齢","背番号"
"1073230416","ブラッシュ","ジャバリ　ブラッシュ","プロ(楽天)","楽天","210606393","楽天","外野手","右翼手","一塁手","右","右","196","106","30","1989-07-04","支配下","2軍","外国人選手(外国人枠)","2019","","外国人契約","","2019年","193","1年0日","145","1年0日","145","1年0日","145","1年0日","145","8年","1015","1015","9年","1160","1160","S2","0.0","","0.0","","0.0","0.0","0.0","0.0","0","パ・リーグ","ブラッシュ","Jabari Blash","","ジャバリ　ジェレル　ブラッシュ","ジャバリ　ジェレル　ブラッシュ","Jabari Jerell Blash","","","","アメリカ","楽天","Los Angeles(AL)","New York(AL)","11247","1108ea6a","0","23325138","","","","","","518466","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","","","","","","30","69"
"1073218627","Luis Jimenez","ルイス　ヒメネス","プロ(楽天)","不明","1073686297","無所属","内野手","三塁手","指名打者","右","右","180","94","32","1988-01-18","登録なし","無所属","外国人選手(外国人枠)","2019","","外国人契約","","2019年","0","0日","0","0日","0","0日","0","0日","0","8年","1160","1160","9年","1305","1305","S","0.0","","0.0","","0.0","0.0","0.0","0.0","0","無所属","ヒメネス","Luis Jimenez","Luis Jimenez","ルイス　ヒメネス","ルイス　ヒメネス","Luis Domingo (Rodriguez) Jimenez","","","","ドミニカ共和国","無所属","楽天","無所属","6341","","0","43545138","","","","","","499864","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","","","","2019-03-22","","32",""
"1073234590","ブセニッツ","アラン　ブセニッツ","プロ(楽天)","楽天","210606393","楽天","投手","中継ぎ","なし","右","右","185","81","29","1990-08-22","支配下","2軍","外国人選手(外国人枠)","2019","","外国人契約","","2019年","135","135日","135","135日","135","135日","135","135日","135","8年","1025","1025","9年","1170","1170","S","0.0","","0.0","","0.0","0.0","0.0","0.0","0","パ・リーグ","ブセニッツ","Alan Busenitz","","アラン　ブセニッツ","アラン　ブセニッツ","Alan Busenitz","","","","アメリカ","楽天","無所属","Minnesota","15239","","0","03305138","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","","","","","","29","32"
"1073235807","王　彦程","ワン・イェンチェン","プロ(楽天)","楽天","210606393","楽天","投手","先発","なし","左","左","180","82","18","2001-02-14","育成","2軍","外国人選手(外国人枠)","2019","","外国人契約","","2019年","","","","0日","0","","","0日","0","8年","","1160","9年","","1305","S","0.0","","0.0","","0.0","0.0","0.0","0.0","0","パ・リーグ","王","Yan Cheng Wang","","王　彦程","ワン　エンチェン","Wang Yan Cheng","","","","台湾","楽天","18U 台湾代表","","","","0","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","","","","","","19","017"
"1073217715","銀次","ギンジ","プロ(楽天)","楽天","210606393","楽天","内野手","一塁手","二塁手","右","左","174","78","31","1988-02-24","支配下","2軍","日本人選手","2019","楽天","高校生ドラフト3巡目","盛岡中央","2006年","193","8年72日","1232","8年72日","1232","8年72日","1232","8年72日","1232","8年","0","0","9年","73","73","N","37.5","45","45.0","45","45.0","45.0","45.0","45.0","2","パ・リーグ","銀次","Ginji","銀次","赤見内　銀次","アカミナイ　ギンジ","Ginji Akaminai","","","","日本","楽天","盛岡中央","","","","1","71375112","","45","45","45","45","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","","","","","","32","33"
"1073217690","藤田　一也","フジタ　カズヤ","プロ(楽天)","楽天","210606393","楽天","内野手","二塁手","三塁手","右","左","175","75","37","1982-07-03","支配下","2軍","日本人選手","2019","横浜","ドラフト4巡目","近畿大","2005年","129","14年6日","2036","14年6日","2036","14年6日","2036","14年6日","2036","8年","0","0","9年","0","0","N","35.0","40","45.0","45","40.0","35.0","30.0","25.0","2","パ・リーグ","藤田","Kazuya Fujita","藤田　一也","藤田　一也","フジタ　カズヤ","Kazuya Fujita","","","","日本","楽天","横浜","近畿大","","","0","21225110","","40","35","30","25","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","","","","","","37","6"
"1073217709","岡島　豪郎","オカジマ　タケロウ","プロ(楽天)","楽天","210606393","楽天","捕手","捕手","左翼手","右","左","176","82","30","1989-09-07","支配下","2軍","日本人選手","2019","楽天","ドラフト4位","白鷗大","2012年","0","6年20日","890","6年20日","890","6年20日","890","6年20日","890","7年","125","125","9年","415","415","N","27.5","35","45.0","45","40.0","45.0","45.0","45.0","2","パ・リーグ","岡島","Takero Okajima","岡島　豪郎","岡島　豪郎","オカジマ　タケロウ","Takero Okajima","","","","日本","楽天","白鷗大","関東学園大付","","","0","21325135","","40","45","45","45","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","","","","","","30","27"
"295781541","則本　昂大","ノリモト　タカヒロ","プロ(楽天)","楽天","210606393","楽天","投手","先発","中継ぎ","右","左","178","82","29","1990-12-17","支配下","2軍","日本人選手","2019","楽天","ドラフト2位","三重中京大","2013年","91","6年91日","961","6年91日","961","6年91日","961","6年91日","961","7年","54","54","9年","344","344","N","28.0","35","36.3","45","35.0","35.0","35.0","35.0","5","パ・リーグ","則本","Takahiro Norimoto","則本　昂大","則本　昂大","ノリモト　タカヒロ","Takahiro Norimoto","","","","日本","楽天","三重中京大","八幡商","","","0","51055137","","35","35","35","35","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","","","","","","29","14"
"1073216828","西宮　悠介","ニシミヤ　ユウスケ","プロ(楽天)","不明","1073686297","無所属","投手","中継ぎ","先発","左","左","180","80","28","1991-05-01","登録なし","無所属","日本人選手","2019","楽天","ドラフト5巡目","横浜商科大","2014年","50","2年128日","418","2年128日","418","2年128日","418","2年128日","418","7年","597","597","9年","887","887","N","15.0","25","20.0","20","35.0","30.0","30.0","20.0","3","無所属","西宮","Yusuke Nishimiya","西宮　悠介","西宮　悠介","ニシミヤ　ユウスケ","Yusuke Nishimiya","","","","日本","無所属","楽天","横浜商科大","","","0","21025139","","35","30","30","20","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","","","","","","28",""
"1073217118","橋本　到","ハシモト　イタル","プロ(楽天)","不明","1073686297","無所属","外野手","右翼手","中堅手","右","左","172","78","29","1990-04-28","登録なし","無所属","日本人選手","2019","巨人","ドラフト4位","仙台育英","2009年","40","4年94日","674","4年94日","674","4年94日","674","4年94日","674","8年","486","486","9年","631","631","N","26.7","30","35.0","40","35.0","35.0","40.0","40.0","3","無所属","橋本","Itaru Hashimoto","橋本　到","橋本　到","ハシモト　イタル","Itaru Hashimoto","","","","日本","無所属","楽天","巨人","","","1","51455118","","35","35","40","40","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","","","","","","29",""
